Latitude,Longitude,Depth,Magnitude,No,Cluster
0.274,0.733,0.389,0.554,603,3
0.095,0.455,0.02,0.404,604,1
0.709,0.047,0.02,0.429,605,1
0.584,0.577,0.016,0.261,606,0
0.587,0.545,0.012,0.309,607,0
0.639,0.61,0.113,0.324,608,0
0.224,0.247,0.072,0.452,609,1
0.345,0.844,0.019,0.514,610,1
0.363,0.755,0.036,0.321,611,0
0.189,0.7,0.025,0.393,612,0
0.051,0.528,0.016,0.333,613,0
0.597,0.642,0.02,0.418,614,1
0.128,0.605,0.093,0.291,615,0
0.681,0.677,0.064,0.595,616,1
0.691,0.557,0.072,0.587,617,1
0.624,0.658,0.033,0.609,618,1
0.663,0.555,0.013,0.244,619,0
0.466,0.602,0.037,0.383,620,0
0.034,0.396,0.069,0.412,621,1
0.63,0.607,0.015,0.315,622,0
0.352,0.16,0.017,0.36,623,0
0.591,0.545,0.033,0.256,624,0
0.664,0.584,0.244,0.263,625,3
0.586,0.546,0.017,0.281,626,0
0.449,0.704,0.093,0.244,627,0
0.232,0.286,0.316,0.521,628,3
0.748,0.608,0.029,0.419,629,1
0.386,0.663,0.574,0.542,630,2
0.093,0.455,0.069,0.342,631,0
0.4,0.723,0.294,0.419,632,3
0.251,0.253,0.012,0.294,633,0
0.157,0.312,0.019,0.284,634,0
0.784,0.026,0.023,0.342,635,0
0.149,0.35,0.065,0.351,636,0
0.132,0.63,0.076,0.22,637,0
0.646,0.612,0.104,0.41,638,1
0.738,0.7,0.012,0.333,639,0
0.191,0.239,0.012,0.471,640,1
0.799,0.69,0.012,0.349,641,0
0.151,0.31,0.012,0.383,642,0
0.043,0.297,0.012,0.537,643,1
0.794,0.722,0.121,0.467,644,1
0.738,0.681,0.012,0.355,645,0
0.83,0.68,0.073,0.428,646,1
0.884,0.706,0.012,0.564,647,1
0.067,0.511,0.08,0.437,648,1
0.377,0.768,0.029,0.414,649,1
0.092,0.455,0.079,0.269,650,0
0.497,0.098,0.035,0.448,651,1
0.793,0.023,0.012,0.246,652,0
0.185,0.489,0.012,0.572,653,1
0.097,0.455,0.076,0.235,654,0
0.6,0.622,0.012,0.365,655,0
0.695,0.553,0.053,0.221,656,0
0.27,0.738,0.053,0.56,657,1
0.342,0.163,0.025,0.27,658,0
0.237,0.759,0.167,0.512,659,3
0.38,0.919,0.012,0.538,660,1
0.221,0.267,0.207,0.408,661,3
0.052,0.529,0.024,0.447,662,1
0.385,0.67,0.547,0.563,663,2
0.2,0.647,0.502,0.481,664,2
0.727,0.681,0.053,0.54,665,1
0.094,0.458,0.036,0.379,666,0
0.454,0.785,0.095,0.533,667,1
0.899,0.675,0.199,0.567,668,3
0.69,0.58,0.063,0.46,669,1
0.083,0.544,0.036,0.297,670,0
0.462,0.979,0.04,0.427,671,1
0.492,0.748,0.019,0.469,672,1
0.213,0.253,0.131,0.4,673,3
0.49,0.748,0.045,0.499,674,1
0.678,0.678,0.025,0.461,675,1
0.663,0.679,0.012,0.547,676,1
0.701,0.566,0.017,0.5,677,1
0.705,0.705,0.012,0.414,678,1
0.148,0.263,0.013,0.405,679,1
0.905,0.011,0.037,0.448,680,1
0.483,0.72,0.04,0.497,681,1
0.259,0.707,0.55,0.5,682,2
0.163,0.509,0.02,0.337,683,0
0.588,0.547,0.02,0.419,684,1
0.625,0.656,0.012,0.424,685,1
0.407,0.169,0.109,0.42,686,1
0.581,0.706,0.012,0.518,687,1
0.719,0.7,0.182,0.513,688,3
0.229,0.76,0.207,0.499,689,3
0.079,0.496,0.044,0.54,690,1
0.9,0.641,0.012,0.453,691,1
